,name,Status,"Population
Census
1987-05-25","Population
Estimate
1995-12-31","Population
Estimate
2001-12-31","Population
Census
2011-05-09","Population
Estimate
2014-12-31",Change2001-2011
278,Paderborn,County,230717,278020,292961,294602,299071,1641
279,Recklinghausen,County,631024,662931,656053,619382,613092,-36671
280,Remscheid,City with County Rights,120132,122260,118753,110708,109009,-8045
281,Rhein-Erft-Kreis,County,399751,442356,458430,451514,459448,-6916
282,Rheinisch-Bergischer Kreis,County,249742,269541,276525,278183,279497,1658
283,Rhein-Kreis Neuss,County,403764,435656,445683,437393,442522,-8290
284,Rhein-Sieg-Kreis,County,476453,546670,583051,578252,585781,-4799
285,Siegen-Wittgenstein,County,279700,299336,295787,276834,275909,-18953
286,Soest,County,266693,298677,307809,296875,296742,-10934
287,Solingen,City with County Rights,159103,165735,165032,155265,156771,-9767
288,Städteregion Aachen,County,515706,550353,553714,539516,547661,-14198
