,lt_x,lt_y,rb_x,rb_y,target_norm
9188,18891085.42,20365482.82,19204401.58,20546242.18,9.09769390001e+11
9189,18891125.42,20365542.82,19204441.58,20546302.18,9.09769390001e+11
9190,18891045.42,20365552.82,19204361.58,20546312.18,9.09769390001e+11
9191,18891105.42,20365532.82,19204421.58,20546292.18,9.09769390001e+11
9192,18891035.42,20365472.82,19204351.58,20546232.18,9.09769390001e+11
9193,18891065.42,20365572.82,19204381.58,20546332.18,9.09769390001e+11
9194,18891115.42,20365522.82,19204431.58,20546282.18,9.09769390001e+11
9195,18891125.42,20365532.82,19204441.58,20546292.18,9.09769390001e+11
9196,18891115.42,20365562.82,19204431.58,20546322.18,9.09769390001e+11
9197,18891035.42,20365482.82,19204351.58,20546242.18,9.09769390001e+11
9198,18891105.42,20365492.82,19204421.58,20546252.18,9.09769390001e+11
9199,18891035.42,20365492.82,19204351.58,20546252.18,9.09769390001e+11
9200,18891045.42,20365532.82,19204361.58,20546292.18,9.09769390001e+11
9201,18891115.42,20365502.82,19204431.58,20546262.18,9.09769390001e+11
9202,18891125.42,20365562.82,19204441.58,20546322.18,9.09769390001e+11
9203,18891035.42,20365552.82,19204351.58,20546312.18,9.09769390001e+11
9204,18891095.42,20365552.82,19204411.58,20546312.18,9.09769390001e+11
9205,18891055.42,20365552.82,19204371.58,20546312.18,9.09769390001e+11
9206,18891075.42,20365472.82,19204391.58,20546232.18,9.09769390001e+11
9207,18891135.42,20365552.82,19204451.58,20546312.18,9.09769390001e+11
9208,18891055.42,20365532.82,19204371.58,20546292.18,9.09769390001e+11
9209,18891045.42,20365522.82,19204361.58,20546282.18,9.09769390001e+11
9210,18891085.42,20365502.82,19204401.58,20546262.18,9.09769390001e+11
9211,18891035.42,20365522.82,19204351.58,20546282.18,9.09769390001e+11
9212,18891125.42,20365552.82,19204441.58,20546312.18,9.09769390001e+11
9213,18891135.42,20365542.82,19204451.58,20546302.18,9.09769390001e+11
9214,18891115.42,20365542.82,19204431.58,20546302.18,9.09769390001e+11
9215,18891095.42,20365492.82,19204411.58,20546252.18,9.09769390001e+11
9216,18891055.42,20365562.82,19204371.58,20546322.18,9.09769390001e+11
9217,18891095.42,20365502.82,19204411.58,20546262.18,9.09769390001e+11
9218,18891065.42,20365482.82,19204381.58,20546242.18,9.09769390001e+11
9219,18891075.42,20365492.82,19204391.58,20546252.18,9.09769390001e+11
9220,18891135.42,20365472.82,19204451.58,20546232.18,9.09769390001e+11
9221,18891105.42,20365552.82,19204421.58,20546312.18,9.09769390001e+11
9222,18891075.42,20365512.82,19204391.58,20546272.18,9.09769390001e+11
9223,18891135.42,20365572.82,19204451.58,20546332.18,9.09769390001e+11
9224,18891115.42,20365532.82,19204431.58,20546292.18,9.09769390001e+11
9225,18897632.84,20369308.64,19197894.16,20542536.36,9.09296340216e+11
9226,18897622.84,20369288.64,19197884.16,20542516.36,9.09296340216e+11
9227,18897632.84,20369238.64,19197894.16,20542466.36,9.09296340216e+11
9228,18897662.84,20369288.64,19197924.16,20542516.36,9.09296340216e+11
9229,18897602.84,20369238.64,19197864.16,20542466.36,9.09296340216e+11
9230,18897652.84,20369238.64,19197914.16,20542466.36,9.09296340216e+11
9231,18897662.84,20369258.64,19197924.16,20542486.36,9.09296340216e+11
9232,18897602.84,20369258.64,19197864.16,20542486.36,9.09296340216e+11
9233,18897652.84,20369338.64,19197914.16,20542566.36,9.09296340216e+11
9234,18897642.84,20369288.64,19197904.16,20542516.36,9.09296340216e+11
9235,18897662.84,20369338.64,19197924.16,20542566.36,9.09296340216e+11
9236,18897652.84,20369328.64,19197914.16,20542556.36,9.09296340216e+11
9237,18897642.84,20369278.64,19197904.16,20542506.36,9.09296340216e+11
9238,18897652.84,20369278.64,19197914.16,20542506.36,9.09296340216e+11
9239,18897612.84,20369248.64,19197874.16,20542476.36,9.09296340216e+11
9240,18897622.84,20369268.64,19197884.16,20542496.36,9.09296340216e+11
9241,18897662.84,20369268.64,19197924.16,20542496.36,9.09296340216e+11
9242,18897632.84,20369318.64,19197894.16,20542546.36,9.09296340216e+11
9243,18897662.84,20369328.64,19197924.16,20542556.36,9.09296340216e+11
9244,18897662.84,20369318.64,19197924.16,20542546.36,9.09296340216e+11
9245,18897622.84,20369278.64,19197884.16,20542506.36,9.09296340216e+11
9246,18897592.84,20369238.64,19197854.16,20542466.36,9.09296340216e+11
9247,18897622.84,20369238.64,19197884.16,20542466.36,9.09296340216e+11
9248,18897622.84,20369298.64,19197884.16,20542526.36,9.09296340216e+11
9249,18897662.84,20369278.64,19197924.16,20542506.36,9.09296340216e+11
9250,18897622.84,20369248.64,19197884.16,20542476.36,9.09296340216e+11
9251,18897632.84,20369248.64,19197894.16,20542476.36,9.09296340216e+11
9252,18897622.84,20369258.64,19197884.16,20542486.36,9.09296340216e+11
9253,18897632.84,20369288.64,19197894.16,20542516.36,9.09296340216e+11
9254,18897642.84,20369318.64,19197904.16,20542546.36,9.09296340216e+11
9255,18897652.84,20369308.64,19197914.16,20542536.36,9.09296340216e+11
9256,18897662.84,20369308.64,19197924.16,20542536.36,9.09296340216e+11
9257,18897652.84,20369258.64,19197914.16,20542486.36,9.09296340216e+11
9258,18897602.84,20369248.64,19197864.16,20542476.36,9.09296340216e+11
9259,18897632.84,20369258.64,19197894.16,20542486.36,9.09296340216e+11
9260,18897642.84,20369298.64,19197904.16,20542526.36,9.09296340216e+11
9261,18897642.84,20369238.64,19197904.16,20542466.36,9.09296340216e+11
9262,18897652.84,20369288.64,19197914.16,20542516.36,9.09296340216e+11
9263,18897612.84,20369258.64,19197874.16,20542486.36,9.09296340216e+11
9264,18897662.84,20369248.64,19197924.16,20542476.36,9.09296340216e+11
9265,18897632.84,20369278.64,19197894.16,20542506.36,9.09296340216e+11
9266,18897612.84,20369278.64,19197874.16,20542506.36,9.09296340216e+11
9267,18897612.84,20369238.64,19197874.16,20542466.36,9.09296340216e+11
9268,18897632.84,20369268.64,19197894.16,20542496.36,9.09296340216e+11
